Service,Service Provider Name,Service Type,Top_B_Feature_1,Top_B_Feature_2,average_monthly_running_cost,Description,Education_Score,Health_Score,Finance_Score,Tech_Score
Hugging Face Hub,Hugging Face,LLM,Natural Language Understanding,Open Source,0.0,Large model hub; encourages reproducibility,8.0,8.0,10.0,8.0
Mistral,Mistral.ai,LLM,Natural Language Understanding,Open Source,0.0,MIT-licensed; highly performant for local inference,16.0,16.0,16.0,14.0
Falcon,TII (UAE Gov),LLM,Natural Language Understanding,Open Source,0.0,Apache 2.0 license; supports many languages,31.0,31.0,33.0,31.0
BLOOM,BigScience,LLM,Natural Language Understanding,Multilingual Support,0.0,Built by researchers; strong multilingual focus,8.0,8.0,8.0,6.0
GPT-NeoX / GPT-J,EleutherAI,LLM,Natural Language Understanding,Open Source,0.0,Decentralized open LLM alternatives,8.0,8.0,8.0,6.0
OpenLLaMA,Berkeley/Community,LLM,Natural Language Understanding,Open Source,0.0,"Transparent, research-grade LLaMA variant",8.0,8.0,8.0,6.0
PayPal,PayPal Holdings,Online Payments,Global Access,Mainstream Adoption	,15.0,"Popular platform with wide reach, but criticized for freezing funds & political bias.",30.0,30.0,26.0,28.0
Stripe,Stripe Inc.,Online Payments,Global Access,Developer-Friendly,65.0,"Powerful APIs and fast payouts, widely used by devs. Not privacy-centric.",20.0,20.0,16.0,18.0
Wise,Wise Ltd,Online Payments,Global Access,Transparent Fees,12.5,"Honest FX, clear pricing, but no E2EE or open-source features.",22.0,22.0,18.0,20.0
BTCPay Server,BTCPay Foundation,Online Payments,Open-source,End-to-End Encrypted,10.0,"Fully decentralized, privacy-focused, suitable for ethical crypto payments.",16.0,16.0,12.0,14.0
Mollie,Mollie B.V.,Online Payments,Global Access,Ethical Banking,40.0,"Based in EU, adheres to stricter finance laws, but lacks E2EE.",22.0,22.0,20.0,20.0
Dwolla,Dwolla Inc.,Online Payments,Low Transaction Fees,Developer-Friendly,62.5,"US-based fast bank transfers, solid API support, but no E2EE.",22.0,22.0,20.0,20.0
Taler,GNU Project,Online Payments,Privacy-Preserving,End-to-End Encrypted,0.0,"Digital cash system, privacy-focused, open-source and free.",10.0,10.0,8.0,8.0
GloBee,GloBee,Online Payments,Global Access,End-to-End Encrypted,27.5,"Supports Monero and other privacy coins, crypto-friendly and international.",21.0,21.0,19.0,19.0
Checkout.com,Checkout Ltd,Online Payments,Global Access,Developer-Friendly,100.0,"Powerful multi-currency platform with high scalability, but opaque ethics.",26.0,26.0,24.0,24.0
Razorpay,Razorpay Software Pvt. Ltd.,Online Payments,India-Focused	,Developer-Friendly,60.0,"Fast, modern Indian gateway, great for startups, but no encryption layer.",24.0,24.0,20.0,22.0
Slack,Salesforce,Team Chat,App Integrations,Easy to Use,60.0,"Modern chat tool with channels, search, and file sharing.",22.0,22.0,22.0,22.0
Microsoft Teams,Microsoft,Team Chat,App Integrations,Office Integration,50.0,"Combines chat, meetings, and docs inside Microsoft ecosystem.",24.0,24.0,24.0,24.0
Google Chat,Google,Team Chat,Email Integration,Easy to Use,36.0,Works inside Gmail and Google Workspace.,27.0,27.0,27.0,27.0
Mattermost,Mattermost Inc.,Team Chat,Open Source,Private Deployment,20.0,"Secure chat system, ideal for internal servers.",12.0,12.0,12.0,10.0
Rocket.Chat,Rocket.Chat,Team Chat,Open Source,Private Deployment,25.0,"Customizable messaging platform, open source.",14.0,14.0,12.0,12.0
Zulip,Kandra Labs,Team Chat,Open Source,Easy to Use,10.0,Unique threaded messaging system.,12.0,12.0,10.0,10.0
Discord,Discord Inc.,Team Chat,App Integrations,Voice Support,15.0,Popular with dev teams and communities.,29.0,29.0,29.0,29.0
Flock,Flock Inc.,Team Chat,Easy to Use,Built-in Tasks,20.0,Chat + to-dos in one lightweight platform.,22.0,22.0,20.0,20.0
Ryver,Ryver Inc.,Team Chat,App Integrations,Built-in Tasks,25.0,Mix of team chat and Trello-style task boards.,22.0,22.0,20.0,20.0
